,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,classification
8,-80,-81,100,100,-83,-73,100,100,-94,100,100,100,-77,-77,-92,100,-74,100,100,100,100,100,100,100,-53,34
9,-85,-76,100,100,-85,-72,100,100,-94,100,100,100,-86,-77,-89,100,-77,-93,100,100,100,100,100,100,-53,34
10,-81,-74,100,100,-86,-71,100,100,-92,100,100,100,-86,-83,100,100,-75,100,100,100,100,100,100,100,-53,34
11,-80,-81,100,100,-77,-71,100,100,-95,100,100,100,-80,-80,-97,100,-77,100,100,100,100,100,100,100,-53,34
12,-85,-76,100,100,-86,-71,100,100,-92,100,100,100,-86,-77,-89,100,-77,100,100,100,100,100,100,100,-52,34
13,-80,-76,100,100,-85,-71,100,100,100,100,100,100,-77,-80,-90,100,-81,100,100,100,100,100,100,100,-53,34
14,-80,-81,100,100,100,-71,100,100,100,100,100,100,-86,-80,100,100,-81,100,100,100,100,100,100,100,-53,34
15,-80,-81,100,100,-77,-71,100,100,-94,100,100,100,-80,-77,100,100,-77,100,100,100,100,100,100,100,-53,34
16,-84,-76,100,100,-85,-71,100,100,100,100,100,100,-88,-76,100,100,-75,100,100,100,100,100,100,100,-52,34
17,-81,-77,100,100,-86,-71,100,100,100,100,100,100,-77,-80,-90,100,-82,-93,100,100,100,100,100,100,-52,34
18,-80,-76,-96,100,-83,-71,100,100,100,100,100,100,-78,-77,-90,100,-81,100,100,100,100,100,100,100,-52,34
19,-86,-76,100,100,-77,-71,100,100,-94,100,100,100,-86,-76,100,100,-76,100,100,100,100,100,100,100,-54,34
20,-91,-80,100,100,-86,-71,100,100,-92,100,100,100,-78,-84,-97,100,-79,100,100,100,100,100,100,100,-53,34
21,-85,-77,100,100,-77,-71,100,100,-94,100,100,100,-81,100,-90,100,-80,100,100,100,100,100,100,100,-53,34
22,-94,-77,100,100,-77,-71,100,100,-96,100,100,100,-79,-77,-90,100,-77,100,100,100,100,100,100,100,-52,34
23,-85,-74,100,100,-77,-71,100,100,100,100,100,100,-86,-83,-96,100,-82,100,100,100,100,100,100,100,-53,34
24,-80,-73,100,100,-77,-71,100,100,-96,100,100,100,-77,-77,-90,100,-77,-93,100,100,100,100,100,100,-52,34
25,-80,-74,100,100,-77,-71,100,100,100,100,100,100,-78,-80,100,100,-82,100,100,100,100,100,100,100,-53,34
26,-93,-74,100,100,-77,-71,100,100,100,100,100,100,-78,-77,-97,100,-77,100,100,100,100,100,100,100,-53,34
27,-85,-81,100,100,-77,-71,100,100,100,100,100,100,-86,-83,100,100,-82,100,100,100,100,100,100,100,-52,34
28,-85,-74,100,100,-77,-71,100,100,-93,100,100,100,-77,-80,-96,100,-82,100,100,100,100,100,100,100,-53,34
29,-85,-81,100,100,-77,-71,100,100,-95,100,100,100,-77,-80,-90,100,-82,100,100,100,100,100,100,100,-53,34
30,-80,-74,100,100,-77,-71,100,100,-95,100,100,100,-77,-80,-96,100,-77,100,100,100,100,100,100,100,-53,34
31,-85,-81,100,100,-85,-71,100,100,100,100,100,100,-77,-83,100,100,-78,-93,100,100,100,100,100,100,-52,34
32,-85,-74,100,100,-77,-71,100,100,100,100,100,100,-86,-83,-90,100,-82,100,100,100,100,100,100,100,-52,34
33,-85,-76,100,100,-77,-71,100,100,-95,100,100,100,-80,-83,100,100,-81,100,100,100,100,100,100,100,-52,34
34,-80,-74,100,100,-77,-71,100,100,-93,100,100,100,-80,-80,100,100,-77,100,100,100,100,100,100,100,-53,34
35,-85,-74,100,100,-86,-71,100,100,-92,100,100,100,-77,-77,-90,100,-81,100,100,100,100,100,100,100,-52,34
36,-80,-74,100,100,-85,-71,100,100,-94,100,100,100,-78,-77,-90,100,-81,100,100,100,100,100,100,100,-53,34
37,-85,-74,100,100,-77,-71,100,100,100,100,100,100,-78,-83,100,100,-82,100,100,100,100,100,100,100,-52,34
38,-93,-76,100,100,-86,-71,100,100,100,100,100,100,-78,-83,-90,100,-77,100,100,100,100,100,100,100,-52,34
39,100,-76,100,100,-77,-71,100,100,-92,100,100,100,-77,-80,-90,100,-75,100,100,100,100,100,100,100,-53,34
40,-85,-74,100,100,-86,-71,100,100,100,100,100,100,-80,-80,100,100,-77,-93,100,100,100,100,100,100,-53,34
41,-84,100,100,100,-77,-71,100,100,-94,100,100,100,-86,-80,-89,100,-75,100,100,100,100,100,100,100,-53,34
42,-80,-74,100,100,-85,-71,100,100,-92,100,100,100,-86,-83,-96,100,-77,-93,100,100,100,100,100,100,-53,34
43,-85,-74,100,100,-85,-71,100,100,-95,100,100,100,-86,-80,-96,100,-77,100,100,100,100,100,100,100,-53,34
44,-80,-76,100,100,-85,-71,100,100,100,100,100,100,-86,-77,-90,100,-75,100,100,100,100,100,100,100,-52,34
45,-80,-81,100,100,-86,-71,100,100,-92,100,100,100,-78,-80,-90,100,-82,100,100,100,100,100,100,100,-53,34
46,-85,-81,100,100,-77,-71,100,100,-95,100,100,100,-86,-80,-90,100,-74,100,100,100,100,100,100,100,-53,34
47,-80,-76,100,100,-85,-71,100,100,100,100,100,100,-86,-77,-90,100,-75,100,100,100,100,100,100,100,-52,34
48,-80,-81,100,100,-77,-71,100,100,-92,100,100,100,-78,-80,-90,100,-75,100,100,100,100,100,100,100,-53,34
49,-85,-77,100,100,-86,-71,100,100,100,100,100,100,-78,-80,100,100,-77,100,100,100,100,100,100,100,-52,34
50,-85,-81,100,100,-77,-71,100,100,-95,100,100,100,-77,-77,-97,100,-82,100,100,100,100,100,100,100,-52,34
51,-81,-76,100,100,-77,-71,100,100,100,100,100,100,-80,-80,-89,100,-77,100,100,100,100,100,100,100,-53,34
52,-85,-74,100,100,-77,-71,100,100,-92,100,100,100,-77,-80,-89,100,-82,100,100,100,100,100,100,100,-52,34
53,-85,-74,100,100,-77,-71,100,100,-94,100,100,100,-86,-77,-90,100,-77,100,100,100,100,100,100,100,-53,34
54,-81,-74,100,100,-85,-71,100,100,-93,100,100,100,-86,-77,-90,100,-82,100,100,100,100,100,100,100,-53,34
55,-81,-76,100,100,-77,-71,100,100,-94,100,100,100,-80,-80,-90,100,-82,100,100,100,100,100,100,100,-53,34
56,-85,-76,100,100,-77,-71,100,100,-92,100,100,100,-80,-80,-90,100,-75,100,100,100,100,100,100,100,-52,34
57,-85,-76,100,100,-86,-71,100,100,100,100,100,100,-78,-77,-90,100,-77,100,100,100,100,100,100,100,-53,34
58,-81,-81,100,100,-85,-71,100,100,100,100,100,100,-80,-83,100,100,-78,100,100,100,100,100,100,100,-53,34
