index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,
13,2022-07-23-13:57:14,-90,-73,100,100,-79,-64,100,100,-86,100,100,-81,-81,100,100,-83,-77,-93,100,100,100,100,100,-64,-82,33,
14,2022-07-23-13:57:19,-89,-69,100,100,-76,-66,100,100,-81,100,100,-78,-75,-92,100,-77,-77,100,100,100,100,100,100,-84,-75,33,
15,2022-07-23-13:57:24,-90,-80,100,100,-88,-71,100,100,-92,100,100,-79,-82,100,100,-89,-94,100,100,100,100,100,100,-64,-76,33,
16,2022-07-23-13:57:29,-90,-67,100,100,-76,100,100,100,-82,100,100,-79,-74,-89,100,-78,-76,100,100,100,100,100,100,-84,-75,33,
17,2022-07-23-13:57:34,-90,-80,100,100,-89,-71,100,100,-95,100,100,-79,-82,-89,100,-90,-92,100,100,100,100,100,100,-86,-76,33,
18,2022-07-23-13:57:39,-90,-73,100,100,-78,-63,100,100,-86,100,100,-80,-80,-94,100,-85,-77,-93,100,100,100,100,100,-59,-87,33,
19,2022-07-23-13:57:44,-90,-68,100,100,-76,-65,100,100,-82,100,100,-79,-74,-90,100,-77,-76,-92,100,100,100,100,100,-83,-74,33,
20,2022-07-23-13:57:49,-81,-74,100,100,100,-63,100,100,-86,100,100,100,100,100,100,-84,-77,100,100,100,100,100,100,-59,100,33,
21,2022-07-23-13:57:54,-90,-73,100,100,-78,-65,100,100,-82,100,100,-81,-74,100,100,100,-76,100,100,100,100,100,100,-85,-87,33,
22,2022-07-23-13:57:59,-90,-80,100,100,-90,-71,100,100,-94,100,100,-79,-82,-89,100,-89,-94,100,100,100,100,100,100,-64,-76,33,
23,2022-07-23-13:58:04,-81,-73,100,100,-78,-63,100,100,-86,100,100,-81,-80,-95,100,-85,-77,-91,100,100,100,100,100,-60,-86,33,
24,2022-07-23-13:58:09,100,-80,100,100,-78,-63,100,100,-93,100,100,-81,100,100,100,100,-74,100,100,100,100,100,100,-65,-76,33,
25,2022-07-23-13:58:14,-82,-74,100,100,-78,-63,100,100,-92,100,100,100,-82,-97,100,-89,-77,100,100,100,100,100,100,-64,-87,33,
26,2022-07-23-13:58:19,-90,-68,100,100,-78,-66,100,100,-82,100,100,-78,-74,-89,100,-77,-76,-92,100,100,100,100,100,-83,-87,33,
27,2022-07-23-13:58:24,-90,-79,100,100,-76,-71,100,100,-93,100,100,-79,-83,-96,100,-88,-95,100,100,100,100,100,100,-64,-76,33,
28,2022-07-23-13:58:29,100,-79,100,100,100,-71,100,100,-93,100,100,100,-82,-94,100,-89,100,100,100,100,100,100,100,100,100,33,
29,2022-07-23-13:58:34,-90,-68,100,100,-90,-66,100,100,-93,100,100,-79,-74,-90,100,-77,-76,100,100,100,100,100,100,-83,-74,33,
30,2022-07-23-13:58:39,-81,-74,100,100,-90,-63,100,100,-86,100,100,-81,-83,-94,100,-84,-77,-92,100,100,100,100,100,-60,-86,33,
31,2022-07-23-13:58:44,-90,-68,100,100,-78,-65,100,100,-82,100,100,-79,-74,-95,100,-77,-77,-92,100,100,100,100,100,-83,-74,33,
32,2022-07-23-13:58:49,-90,-68,100,100,-76,-65,100,100,-82,100,100,-78,-74,-89,100,-77,-76,100,100,100,100,100,100,-86,-75,33,
33,2022-07-23-13:58:54,-90,-73,100,100,-78,-65,100,100,-82,100,100,-81,-80,-95,100,-77,-76,-92,100,100,100,100,100,-59,-86,33,
34,2022-07-23-13:58:59,-90,-80,100,100,-89,-71,100,100,-92,100,100,-79,-82,-89,100,-89,-94,100,100,100,100,100,100,-64,-76,33,
35,2022-07-23-13:59:04,-81,-74,100,100,-78,-63,100,100,-87,100,100,-100,-80,-94,100,-84,-77,-91,100,100,100,100,100,-60,-87,33,
36,2022-07-23-13:59:09,-81,-73,100,100,-78,-63,100,100,-86,100,100,-81,-81,100,100,-85,-77,100,100,100,100,100,100,-59,-86,33,
37,2022-07-23-13:59:14,-90,-68,100,100,-76,-65,100,100,-82,100,100,-79,-74,-89,100,-77,-78,-92,100,100,100,100,100,-84,-75,33,
38,2022-07-23-13:59:19,-90,-81,100,100,-76,-71,100,100,-93,100,100,-79,-84,-89,100,-87,-92,-97,100,100,100,100,100,-85,-74,33,
39,2022-07-23-13:59:24,-80,-73,100,100,-78,-66,100,100,-92,100,100,-82,-82,-95,100,-89,-77,-94,100,100,100,100,100,-60,-87,33,
40,2022-07-23-13:59:29,100,-72,100,100,-78,-64,100,100,-85,100,100,-83,100,100,100,-86,-77,-92,100,100,100,100,100,-60,-82,33,
41,2022-07-23-13:59:34,-91,-73,100,100,-78,-71,100,100,-92,100,100,-81,100,100,100,-88,-93,100,100,100,100,100,100,-64,-87,33,
42,2022-07-23-13:59:39,-82,-68,100,100,-76,-65,100,100,-82,100,100,-80,-74,100,100,-78,-76,-92,100,100,100,100,100,-86,-75,33,
43,2022-07-23-13:59:44,-90,-80,100,100,-76,-71,100,100,-80,100,100,-80,-74,-94,100,-89,100,100,100,100,100,100,100,-85,-76,33,
44,2022-07-23-13:59:49,-90,-80,100,100,100,-71,100,100,-92,100,100,100,-82,100,100,-89,-96,100,100,100,100,100,100,-64,-76,33,
45,2022-07-23-13:59:54,-90,-68,100,100,-90,-66,100,100,-82,100,100,-79,-74,-89,100,-77,-76,100,100,100,100,100,100,-85,-75,33,
46,2022-07-23-13:59:59,-81,-73,100,100,-78,-63,100,100,-88,100,100,-80,-82,-96,100,-88,-77,-91,100,100,100,100,100,-64,-87,33,
47,2022-07-23-14:00:04,-90,-68,100,100,-76,-66,100,100,-82,100,100,-80,-74,-89,100,-77,-76,-92,100,100,100,100,100,-83,-75,33,
48,2022-07-23-14:00:09,-88,-68,100,100,-76,-66,100,100,-81,100,100,-79,-74,-89,100,-77,100,100,100,100,100,100,100,100,-75,33,
49,2022-07-23-14:00:14,-81,-73,100,100,-78,-63,100,100,-86,100,100,-81,-80,-94,100,-84,-77,-92,100,100,100,100,100,-59,-87,33,
50,2022-07-23-14:00:19,-90,-80,100,100,-76,-65,100,100,-93,100,100,-79,-74,-95,100,-77,-76,100,100,100,100,100,100,-64,-75,33,
51,2022-07-23-14:00:24,-81,-73,100,100,-78,-63,100,100,-86,100,100,-81,-80,-95,100,-89,-94,-94,100,100,100,100,100,-59,-86,33,
52,2022-07-23-14:00:29,-81,-73,100,100,-78,-63,100,100,-87,100,100,-81,-80,-95,100,100,-77,-93,100,100,100,100,100,-59,-87,33,
53,2022-07-23-14:00:34,-90,-80,100,100,-90,-71,100,100,-94,100,100,100,-82,-96,100,-89,-93,-100,100,100,100,100,100,-64,-76,33,
54,2022-07-23-14:00:39,-82,-73,100,100,-76,-63,100,100,-87,100,100,-81,-80,-95,100,-84,-77,-92,100,100,100,100,100,-59,-87,33,
55,2022-07-23-14:00:44,-90,-80,100,100,-90,-71,100,100,-82,100,100,-79,-74,-95,100,-78,-77,100,100,100,100,100,100,-64,-74,33,
56,2022-07-23-14:00:49,-90,-79,100,100,100,-71,100,100,-92,100,100,100,-82,-95,100,-88,-94,100,100,100,100,100,100,-64,-76,33,
57,2022-07-23-14:00:54,-92,-68,100,100,-76,-65,100,100,-82,100,100,-79,-74,-89,100,-78,-76,100,100,100,100,100,100,-84,-74,33,
58,2022-07-23-14:00:59,-90,-80,100,100,-76,-71,100,100,-92,100,100,-78,-82,-95,100,-89,-93,100,100,100,100,100,100,-64,-76,33,
59,2022-07-23-14:01:04,-90,-73,100,100,-78,-65,100,100,-85,100,100,-81,-74,-94,100,-78,-77,-91,100,100,100,100,100,-59,-87,33,
