RFstar_9120,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
49,2022-07-22-14:10:28,100,-55,-86,100,-59,-87,-89,100,-65,100,100,-95,-97,100,-80,-85,100,-68,100,100,-94,100,-88,100,-88,100,50
50,2022-07-22-14:10:33,-90,-56,-86,100,-73,100,-89,-88,-72,100,100,-88,100,100,-80,-90,-91,-69,-80,100,-94,100,100,100,-84,-89,50
51,2022-07-22-14:10:38,-90,-56,-86,100,-72,-88,-89,-87,-65,100,100,-88,-98,100,-80,-90,-89,-62,-79,100,100,100,-89,100,-84,-90,50
52,2022-07-22-14:10:43,-90,-56,-86,100,-61,100,-88,-88,-72,100,100,-96,-99,100,-74,-85,100,-68,-74,100,-93,100,-88,100,-84,-94,50
53,2022-07-22-14:10:48,100,-56,-86,100,-72,-87,-88,-90,-72,100,100,-88,100,-93,-80,-85,-88,-74,-78,100,-93,100,100,100,-92,-89,50
54,2022-07-22-14:10:53,-90,-56,-86,100,-59,-88,-88,-88,-72,100,100,100,100,100,-80,-90,-91,-74,-84,100,-93,100,100,100,-88,-95,50
55,2022-07-22-14:10:58,-90,-56,-84,100,-59,-86,-88,-92,-72,100,100,100,100,100,-81,100,-89,-74,-84,100,100,100,100,100,-84,-95,50
56,2022-07-22-14:11:03,-90,-56,-86,100,-59,-86,100,100,100,100,100,-88,100,-93,-74,-85,-91,-62,-78,100,-93,100,100,100,-84,-95,50
57,2022-07-22-14:11:08,100,-56,-86,100,-61,-88,100,-88,-65,100,100,-96,-93,100,-80,-85,-91,-68,-74,100,100,100,-88,100,-84,100,50
58,2022-07-22-14:11:13,100,-56,-86,100,-59,100,-88,-88,-72,100,100,-88,-98,100,-81,-91,-91,-74,-79,100,-93,100,100,100,-88,100,50
59,2022-07-22-14:11:18,-90,-55,-86,100,-59,-86,-88,-88,-72,100,100,-96,100,100,-74,-85,-91,-68,-74,100,100,100,100,100,-93,-90,50
