index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,
48,2022-07-23-14:02:29,-85,-62,-97,100,-83,-82,100,100,-95,100,100,-77,-80,-87,100,-86,-92,-94,100,100,100,100,100,-51,-77,33,
49,2022-07-23-14:02:34,-78,-65,100,100,-83,-83,100,100,-89,100,100,-85,-78,-86,100,-86,-92,100,100,100,100,100,100,-52,-76,33,
50,2022-07-23-14:02:39,-78,-65,100,100,-82,-83,100,100,-95,100,100,-84,-82,-86,100,-86,-84,-98,100,100,100,100,100,-52,-76,33,
51,2022-07-23-14:02:44,-82,-62,-96,100,-76,-89,100,100,-91,100,100,-77,-82,-86,100,-96,-93,100,100,100,100,100,100,-51,-76,33,
52,2022-07-23-14:02:49,-85,-62,100,100,-66,-87,100,100,-96,100,100,-85,-82,-86,100,-86,-92,-97,100,100,100,100,100,-51,-80,33,
53,2022-07-23-14:02:54,-85,-62,100,100,-83,-87,100,100,-89,100,100,-85,-82,-87,100,-95,-85,100,100,100,100,100,100,-51,-76,33,
54,2022-07-23-14:02:59,-78,-65,100,100,-83,-83,100,100,-95,100,100,-77,-78,-87,100,-96,-85,100,100,100,100,100,100,-52,-77,33,
55,2022-07-23-14:03:04,-85,-65,100,100,-66,-83,100,100,-95,100,100,-77,-78,-87,100,-86,-93,100,100,100,100,100,100,-58,-79,33,
56,2022-07-23-14:03:09,-83,-62,100,100,-76,-83,100,100,100,100,100,-85,-78,-87,100,-76,-77,100,100,100,100,100,100,-51,-76,33,
57,2022-07-23-14:03:14,-82,-65,100,100,-76,-87,100,100,-89,100,100,-77,-80,-86,100,-86,-77,-93,100,100,100,100,100,-51,-76,33,
58,2022-07-23-14:03:19,-85,-65,-97,100,-82,-89,100,100,-95,100,100,-77,-82,-86,100,-76,-92,100,100,100,100,100,100,-51,-76,33,
59,2022-07-23-14:03:24,-78,-62,100,100,-66,-83,100,100,100,100,100,-85,-78,100,100,-86,-85,100,100,100,100,100,100,-52,-77,33,
