index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,classification
18,2022-07-22-19:24:43,100,100,-77,100,-80,100,-85,-85,-71,100,-90,100,100,-88,100,100,-68,-66,100,100,100,100,100,100,100,53,53
19,2022-07-22-19:24:48,100,-81,-73,-96,-82,100,-86,-91,-76,100,100,100,100,-83,100,100,-67,-66,100,100,100,100,100,100,100,53,53
20,2022-07-22-19:24:53,100,-90,-60,100,-85,100,-79,-85,-75,100,-86,100,100,-88,100,100,-72,-62,100,100,100,100,100,100,100,53,53
21,2022-07-22-19:24:58,100,100,-77,100,-87,100,-85,-92,-72,100,100,100,100,-87,100,100,-81,-59,100,100,100,100,100,100,100,53,53
22,2022-07-22-19:25:03,100,-86,-77,-99,-85,100,-87,100,-72,-99,100,100,100,-88,100,100,-72,-66,100,100,100,100,100,100,100,53,53
23,2022-07-22-19:25:08,100,-94,-73,100,100,100,-78,-85,-75,100,100,100,100,-83,100,100,-81,100,100,100,100,100,100,100,100,53,53
24,2022-07-22-19:25:13,100,-86,-60,100,-94,100,-81,-91,-77,100,100,100,100,-82,100,100,100,-61,100,100,100,100,100,100,100,53,53
25,2022-07-22-19:25:18,100,-86,-77,100,-85,100,-78,-84,-68,100,100,100,100,-88,100,100,100,-59,100,100,100,100,100,100,100,53,53
26,2022-07-22-19:25:23,100,-81,-61,-95,-94,100,-83,-80,-72,100,-90,100,100,100,100,100,-77,-65,100,100,100,100,100,100,100,53,53
27,2022-07-22-19:25:28,100,-90,-60,100,-87,100,-81,-91,-68,-99,-93,100,100,-96,100,100,-81,-62,100,100,100,100,100,100,100,53,53
28,2022-07-22-19:25:33,100,-81,-77,100,-87,100,-79,-80,-81,100,-86,100,100,-82,100,100,-76,-65,100,100,100,100,100,100,-97,53,53
29,2022-07-22-19:25:38,100,-81,-61,100,-82,100,-79,-91,-81,100,100,100,100,-82,100,100,-67,-65,100,100,100,100,100,100,100,53,53
30,2022-07-22-19:25:43,100,-81,-72,100,-85,100,-86,-86,-81,100,-93,100,100,-88,100,100,-72,-66,100,100,100,100,100,100,100,53,53
31,2022-07-22-19:25:48,100,-90,-77,-95,-80,100,-79,-80,-81,-94,-86,100,100,-82,100,100,-81,-66,100,100,100,100,100,100,-96,53,53
32,2022-07-22-19:25:53,100,-81,-58,-96,-82,100,-79,-80,-69,100,-85,100,100,-82,100,100,-67,-62,100,100,100,100,100,100,100,53,53
33,2022-07-22-19:25:58,100,-81,-77,100,-87,100,-78,100,-76,100,-88,100,100,-96,100,100,-68,-62,100,100,100,100,100,100,100,53,53
34,2022-07-22-19:26:03,100,-94,-59,100,-82,100,-83,-80,-76,100,-90,100,100,-88,100,100,-67,-65,100,100,100,100,100,100,100,53,53
35,2022-07-22-19:26:08,100,-79,-77,100,-94,100,-86,-87,-76,100,-93,100,100,-83,100,100,-70,-62,100,100,100,100,100,100,-102,53,53
36,2022-07-22-19:26:13,100,-81,-73,-99,-80,100,-83,-80,-73,100,-90,100,100,-83,100,100,-76,-66,100,100,100,100,100,100,-98,53,53
37,2022-07-22-19:26:18,100,-90,-73,100,100,100,-79,-85,-71,100,-89,100,100,100,100,100,-67,-59,100,100,100,100,100,100,100,53,53
38,2022-07-22-19:26:23,100,-94,-61,100,-90,100,100,-91,-71,100,-90,100,100,-88,100,100,-71,-61,100,100,100,100,100,100,100,53,53
39,2022-07-22-19:26:28,100,-90,-60,100,-82,100,-81,-80,-76,100,-93,100,100,-83,100,100,100,-62,100,100,100,100,100,-99,100,53,53
40,2022-07-22-19:26:33,100,-78,-61,100,-82,100,-78,-80,-81,100,100,100,100,-88,100,100,-68,-65,100,100,100,100,100,100,100,53,53
41,2022-07-22-19:26:38,100,100,-60,100,-80,100,-79,-91,-68,100,-90,100,100,-97,100,100,-81,-59,100,100,100,100,100,100,100,53,53
42,2022-07-22-19:26:43,100,-81,-61,100,-80,100,-83,-85,-75,-94,-86,100,100,-82,100,100,-81,-66,100,100,100,100,100,100,100,53,53
43,2022-07-22-19:26:48,100,-81,-72,100,-90,100,-78,-80,-71,-94,-86,100,100,-83,100,100,-68,-62,100,100,100,100,100,100,-97,53,53
44,2022-07-22-19:26:53,100,-81,-73,-95,-80,100,-81,-87,-69,100,-88,100,100,-83,100,100,-77,-59,100,100,100,100,100,100,-99,53,53
45,2022-07-22-19:26:58,100,-81,-77,100,-80,100,-87,-86,-81,-94,-89,100,100,-83,100,100,-81,-62,100,100,100,100,100,100,100,53,53
46,2022-07-22-19:27:03,100,-90,-72,100,-82,100,-78,-80,-68,100,-89,100,100,-83,100,100,-67,-59,100,100,100,100,100,100,100,53,53
47,2022-07-22-19:27:08,100,-81,-58,100,-90,100,-79,-86,-71,100,-86,100,100,-83,100,100,-68,-62,100,100,100,100,100,100,100,53,53
48,2022-07-22-19:27:13,100,-90,-58,100,-82,100,-81,-80,-75,-93,-86,100,100,100,100,100,-67,-62,100,100,100,100,100,100,100,53,53
49,2022-07-22-19:27:18,100,-90,-61,-96,-80,100,-78,-80,-68,100,-88,100,100,-83,100,100,-67,-59,100,100,100,100,100,100,100,53,53
50,2022-07-22-19:27:23,100,-90,-73,-95,-80,100,-80,-80,-71,-94,-86,100,100,-82,100,100,-68,-59,100,100,100,100,100,100,100,53,53
51,2022-07-22-19:27:28,100,-83,-72,-95,-82,100,-85,-85,-77,100,-89,100,100,-88,100,100,-77,-62,100,100,100,100,100,100,-97,53,53
52,2022-07-22-19:27:33,100,-81,-73,100,-80,100,-78,-80,-71,100,-86,100,100,-83,100,100,-68,-62,100,100,100,100,100,100,100,53,53
53,2022-07-22-19:27:38,100,-81,-73,-96,-80,100,-78,-86,-68,100,-86,100,100,-83,100,100,-67,-62,100,100,100,100,100,100,100,53,53
54,2022-07-22-19:27:43,100,-86,-59,100,-85,100,-79,-80,-76,100,-86,100,100,-96,100,100,-77,-66,100,100,100,100,100,100,100,53,53
55,2022-07-22-19:27:48,100,-90,-61,100,-80,100,-81,-86,-71,100,-86,100,100,-83,100,100,-77,-59,100,100,100,100,100,100,100,53,53
56,2022-07-22-19:27:53,100,-90,-73,100,-82,100,-81,-80,-76,100,-86,100,100,-84,100,100,-67,-59,100,100,100,100,100,100,100,53,53
57,2022-07-22-19:27:58,100,-81,-65,100,-80,100,-78,-85,-75,-98,-93,100,100,-84,100,100,-68,-65,100,100,100,100,100,100,100,53,53
58,2022-07-22-19:28:03,100,-90,-59,-96,-80,100,-78,-86,-71,-94,-89,100,100,-83,100,100,-67,-62,100,100,100,100,100,100,-98,53,53
59,2022-07-22-19:28:08,100,-81,-59,-95,-80,100,-79,-80,-69,100,-86,100,100,-83,100,100,-68,-59,100,100,100,100,100,100,100,53,53
