index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-85.80434783
48,2022-07-23-14:36:08,-88,-91,100,100,-76,-56,100,100,100,100,100,100,-86,-85,-95,100,-91,100,100,100,100,100,100,100,-70,-85,35,
49,2022-07-23-14:36:13,-88,-80,100,100,-77,-55,100,100,100,100,100,100,-71,-82,100,100,-74,100,100,100,100,100,100,100,-68,-74,35,
50,2022-07-23-14:36:18,-88,-90,100,100,-76,-56,100,100,100,100,100,100,-86,-84,100,100,-91,-93,100,100,100,100,100,100,-69,-86,35,
51,2022-07-23-14:36:23,-88,-91,100,100,-76,-57,100,100,100,100,100,100,100,-84,-96,100,100,100,100,100,100,100,100,100,-70,-85,35,
52,2022-07-23-14:36:28,100,-76,100,100,-77,-57,100,100,100,100,100,100,-71,-84,100,100,-74,-91,100,100,100,100,100,100,-67,-74,35,
53,2022-07-23-14:36:33,-84,-80,100,100,-77,-56,100,100,100,100,100,100,-86,-82,100,100,-76,100,100,100,100,100,100,100,-69,-85,35,
54,2022-07-23-14:36:38,-90,-76,100,100,-77,-57,100,100,100,100,100,100,-71,-84,100,100,-73,-92,100,100,100,100,100,100,-68,-73,35,
55,2022-07-23-14:36:43,100,100,100,100,-78,-57,100,100,100,100,100,100,-71,-83,100,100,-73,100,100,100,100,100,100,100,-67,-74,35,
56,2022-07-23-14:36:48,-83,-78,100,100,-80,-55,100,100,100,100,100,100,-73,-82,100,100,-76,-90,100,100,100,100,100,100,-68,-71,35,
57,2022-07-23-14:36:53,-90,-76,100,100,-77,-57,100,100,100,100,100,100,-71,-84,100,100,-73,100,100,100,100,100,100,100,-68,-73,35,
58,2022-07-23-14:36:58,-83,-80,100,100,-80,-56,100,100,100,100,100,100,-73,-82,-97,100,-76,100,100,100,100,100,100,100,-68,-71,35,
59,2022-07-23-14:37:03,-82,-80,100,100,-80,-55,100,100,100,100,100,100,-74,-83,100,100,-76,100,100,100,100,100,100,100,-68,-71,35,
