index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
125,2022-11-19-14:27:45:158,0.10475296,-0.101701014,-0.7686295,0.6228101,-0.09989299,1.896331,9.621037,0.4272284,1.6571832,0.8297348
126,2022-11-19-14:27:45:169,0.10614841,-0.099620745,-0.76900494,0.6224464,-0.09377637,1.9282572,9.614751,0.34688878,1.6883993,1.0258875
127,2022-11-19-14:27:45:179,0.10614841,-0.099620745,-0.76900494,0.6224464,-0.09377637,1.9282572,9.614751,0.34688878,1.6883993,1.0258875
128,2022-11-19-14:27:45:189,0.10614841,-0.099620745,-0.76900494,0.6224464,-0.095303334,1.963409,9.607618,-0.032300822,1.6391616,1.5508919
129,2022-11-19-14:27:45:199,0.10614841,-0.099620745,-0.76900494,0.6224464,-0.095303334,1.963409,9.607618,-0.032300822,1.6391616,1.5508919
130,2022-11-19-14:27:45:211,0.122850716,-0.10254876,-0.76757926,0.62065583,-0.1002098,2.009918,9.597947,-0.30507877,1.5614271,1.761343
131,2022-11-19-14:27:45:221,0.12307099,-0.102474645,-0.7675279,0.6206879,-0.094143525,2.0571659,9.587993,-0.3997452,1.1456954,1.3064537
132,2022-11-19-14:27:45:233,0.12307099,-0.102474645,-0.7675279,0.6206879,-0.094143525,2.0571659,9.587993,-0.3997452,1.1456954,1.3064537
133,2022-11-19-14:27:45:242,0.12307099,-0.102474645,-0.7675279,0.6206879,-0.094143525,2.0571659,9.587993,-0.3997452,1.1456954,1.3064537
134,2022-11-19-14:27:45:253,0.12629457,-0.10705555,-0.76667845,0.6203168,-0.08885183,2.0805447,9.582996,-0.062519856,0.5239978,1.5287523
135,2022-11-19-14:27:45:263,0.12829849,-0.108858146,-0.7655849,0.62094223,-0.08885183,2.0805447,9.582996,-0.062519856,0.5239978,1.5287523
136,2022-11-19-14:27:45:275,0.124090455,-0.11476393,-0.7646986,0.6218254,-0.086077906,2.0844703,9.582169,0.09761333,-0.3415357,1.7347898
137,2022-11-19-14:27:45:286,0.124090455,-0.11476393,-0.7646986,0.6218254,-0.086077906,2.0844703,9.582169,0.09761333,-0.3415357,1.7347898
138,2022-11-19-14:27:45:296,0.124090455,-0.11476393,-0.7646986,0.6218254,-0.086077906,2.0844703,9.582169,0.09761333,-0.3415357,1.7347898
139,2022-11-19-14:27:45:307,0.12525913,-0.11680126,-0.7633959,0.62281173,-0.12647791,2.0817683,9.582309,0.1984837,-1.6030701,1.1790848
140,2022-11-19-14:27:45:317,0.12525913,-0.11680126,-0.7633959,0.62281173,-0.13899578,2.0784059,9.582866,0.46510857,-1.5935432,1.3748064
141,2022-11-19-14:27:45:328,0.114609905,-0.124094464,-0.7633123,0.62355405,-0.13899578,2.0784059,9.582866,0.46510857,-1.5935432,1.3748064
142,2022-11-19-14:27:45:338,0.114630565,-0.12432694,-0.7633702,0.62343305,-0.10295488,2.0932598,9.580087,0.74716425,-1.1970983,0.7096815
143,2022-11-19-14:27:45:348,0.114630565,-0.12432694,-0.7633702,0.62343305,-0.10295488,2.0932598,9.580087,0.74716425,-1.1970983,0.7096815
144,2022-11-19-14:27:45:359,0.10912132,-0.1243633,-0.7634181,0.6243551,-0.10295488,2.0932598,9.580087,0.74716425,-1.1970983,0.7096815
