index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
12,2022-12-04-15:27:54:971,100,-86,-53,100,-89,100,-92,-94,-78,100,100,100,100,100,-85,100,100,-81,-77,100,100,100,100,100,100,100
13,2022-12-04-15:28:02:954,100,-91,-60,100,-93,100,-93,-90,-86,100,100,100,100,100,-89,100,100,-89,-72,100,100,100,100,100,100,100
14,2022-12-04-15:28:10:590,100,-92,-71,100,100,100,100,-87,-79,100,100,100,100,100,-96,100,100,-83,-62,100,100,100,100,100,100,100
15,2022-12-04-15:28:18:600,100,-89,-63,100,-85,100,-91,-87,-89,100,100,100,100,100,-96,100,100,-77,-68,100,100,100,100,100,100,100
16,2022-12-04-15:28:28:077,100,-92,-78,100,-92,100,-84,-78,-85,100,100,100,100,100,-94,100,100,-92,-67,100,100,100,100,100,100,100
17,2022-12-04-15:28:37:046,100,-91,-71,100,-85,100,-86,-69,-79,100,100,100,100,100,-82,100,100,-72,-59,100,100,100,100,100,100,100
18,2022-12-04-15:28:45:180,100,-82,-70,-91,-87,100,-70,-74,-80,-84,100,100,100,100,-89,-92,100,-85,-62,100,100,100,-91,100,100,100
19,2022-12-04-15:29:01:177,100,-86,-62,-91,-95,100,-77,-76,-77,-78,-89,100,100,100,-84,-85,100,-73,-64,-80,-82,100,-82,100,100,100
20,2022-12-04-15:29:17:185,100,-82,-78,-90,-93,100,-84,-74,-88,-89,-90,100,100,100,-90,-93,100,-86,-60,-90,-88,100,-92,100,100,100
21,2022-12-04-15:29:33:235,100,-83,-71,-91,-87,100,-84,-80,-87,-87,-94,100,100,100,-89,-95,100,-76,-62,-88,-94,100,-91,-92,100,100
22,2022-12-04-15:29:44:823,100,-81,-72,-89,-90,100,-78,-79,-73,-80,100,100,100,100,-86,100,100,-65,-56,-88,-83,100,-90,-94,-98,100
23,2022-12-04-15:29:54:606,100,-82,-74,-85,-77,100,-90,-78,-78,-87,-92,100,100,100,-70,-91,100,-66,-57,-83,-91,100,100,100,-91,100
24,2022-12-04-15:30:04:462,100,-84,-63,-91,-84,100,-91,-80,-80,-83,-92,100,100,100,-95,-92,100,-77,-69,-81,-87,100,-84,100,-92,100
25,2022-12-04-15:30:14:131,100,-77,-76,-83,-85,100,-89,-92,-72,-81,-88,100,100,100,-80,-96,100,-74,-71,-81,-86,100,-86,-85,100,100
26,2022-12-04-15:30:56:744,100,-86,-73,-82,-83,100,-86,-84,-83,-81,-95,100,100,100,-73,-96,100,-64,-74,-82,-84,100,-85,-85,-91,100
27,2022-12-04-15:31:26:719,100,-85,-79,-85,-73,100,-90,-83,-74,-83,-89,100,100,100,-70,-89,100,-56,-84,-86,-82,100,-89,-84,-91,100
28,2022-12-04-15:31:43:613,100,-82,-96,-92,-79,100,-87,-86,-83,-82,100,100,100,100,-79,-90,100,-69,-72,-86,-84,100,-94,-88,-92,100
29,2022-12-04-15:32:06:844,100,-71,-79,-84,-76,100,-90,-95,-79,-80,-92,100,100,100,-75,-94,-96,-70,-76,-80,-82,100,-92,100,-86,100
30,2022-12-04-15:32:16:832,100,-69,-79,-88,-80,100,-86,-94,-71,-79,-88,100,100,100,-75,-88,-94,-71,-76,-88,-79,100,-89,100,-83,100
31,2022-12-04-15:32:28:304,100,-66,-84,-80,-74,100,-83,-89,-68,-79,-88,100,100,100,-72,-86,100,-76,-77,-84,-81,100,-85,-94,-88,-96
32,2022-12-04-15:32:41:755,100,-65,-93,-77,-75,-87,-93,-94,-68,-79,-92,100,100,100,-68,-92,100,-85,-80,-80,-83,100,-89,-88,-89,-96
33,2022-12-04-15:32:51:691,-94,-68,-93,-78,-75,-86,-85,-94,-86,-81,-87,100,-92,-94,-72,-83,-96,-76,-84,-77,-89,100,-87,-91,-72,-87
34,2022-12-04-15:33:00:741,100,-64,100,-84,-61,-85,-83,-92,-76,-81,-90,100,-90,-82,-70,100,-86,-75,-80,-87,-86,100,-84,100,-84,-82
35,2022-12-04-15:33:08:723,-89,-62,-92,-82,-59,-90,-86,-86,-76,-85,-85,100,-84,-91,-74,-86,-82,-81,-80,-83,-90,100,-82,100,-92,-83
