index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
16,2022-12-01-14:02:40:651,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,2022-12-01-14:02:41:362,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,2022-12-01-14:02:42:032,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,2022-12-01-14:02:42:697,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,2022-12-01-14:02:43:363,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,2022-12-01-14:02:44:138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,2022-12-01-14:02:44:819,100,100,-76,100,100,100,-72,100,-85,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,100,100
23,2022-12-01-14:02:45:478,100,100,-76,100,100,100,-73,-73,100,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100
24,2022-12-01-14:02:46:236,100,100,100,100,-86,100,100,100,-81,100,100,100,100,100,-84,100,100,-75,-63,-90,100,100,100,100,100,100
25,2022-12-01-14:02:46:933,100,-84,-74,-93,100,100,100,100,-80,100,100,100,100,100,-85,100,100,100,-54,-84,-89,100,100,100,100,100
26,2022-12-01-14:02:47:563,100,100,-71,-91,100,100,-78,100,100,100,100,100,100,100,100,100,100,-68,100,100,100,100,100,-90,100,100
27,2022-12-01-14:02:48:262,100,100,100,100,-77,100,100,-86,-76,-89,100,100,100,100,-82,100,100,-72,-54,100,100,100,100,100,100,100
28,2022-12-01-14:02:48:949,100,100,-70,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,-68,100,100,100,100,100,100,100
29,2022-12-01-14:02:49:641,100,100,-71,100,100,100,100,100,-81,-88,100,100,100,100,100,100,100,-72,100,100,-87,100,-86,100,100,100
30,2022-12-01-14:02:50:299,100,-90,100,100,100,100,100,100,100,-95,100,100,100,100,-80,100,100,-69,-73,100,100,100,100,100,-96,100
31,2022-12-01-14:02:50:953,100,100,-76,-91,100,100,100,100,-82,100,100,100,100,100,-77,-96,100,100,-70,100,-89,100,100,100,100,100
32,2022-12-01-14:02:51:610,100,100,-89,-94,100,100,-87,100,100,-96,100,100,100,100,100,100,100,-65,100,-82,100,100,100,100,100,100
33,2022-12-01-14:02:52:328,100,-82,100,100,-86,100,100,100,-86,-87,100,100,100,100,-75,100,100,100,-89,100,100,100,100,100,100,100
